
[00:00:00.000 --> 00:00:05.480]   The holidays start here at Ralph's with a variety of options to celebrate traditions old and new.
[00:26:09.640 --> 00:26:15.640]   but now I find that Google Flights is giving me more useful results and is giving me a lot of what I need.
[00:26:15.640 --> 00:26:21.640]   So if you want to figure out a trip, the first thing you should do is go to flights.google.com,
[00:26:21.640 --> 00:26:27.640]   click on their Explore tab, which gives you some options, and then put in your options.
[00:26:27.640 --> 00:26:32.640]   Where do you want to go? Try to be as wide as possible with your options.
[00:26:32.640 --> 00:26:34.640]   And when do you want to go?
[00:26:34.640 --> 00:26:42.640]   They will allow you to search any time in the next six months or in a specific month, August, September, October, November, December, etc.
[00:26:42.640 --> 00:26:46.640]   So one specific month in the next six months.
[00:26:46.640 --> 00:26:53.640]   And they'll also allow you to search by one-way flights or for one-week or two-week round trips.
[00:26:53.640 --> 00:26:56.640]   In addition, they give you a map.
[00:26:56.640 --> 00:27:02.640]   And the map is very useful because it allows you to basically hover around the world
[00:27:02.640 --> 00:27:08.640]   and see where the options are available to you, where you can go on a certain budget.
[00:27:08.640 --> 00:27:11.640]   And the map can be filtered.
[00:27:11.640 --> 00:27:19.640]   So you can put in your budget with your filter approach and figure out where you can go on the amount of money that you have.
[00:27:19.640 --> 00:27:22.640]   And this gets rid of a lot of extraneous options.
[00:27:22.640 --> 00:27:24.640]   So I love this solution.
[00:27:24.640 --> 00:27:28.640]   I, myself, usually don't do round-trip travel.
[00:27:28.640 --> 00:27:33.640]   So I don't book a two-week trip from a specific destination to another specific destination.
[00:27:33.640 --> 00:27:36.640]   I enjoy more using the one-way options.
[00:27:36.640 --> 00:27:41.640]   And that's another big change that now it seems easy.
[00:27:41.640 --> 00:27:44.640]   Years ago, it was very difficult to book one-way flights at a reasonable price.
[00:27:44.640 --> 00:27:48.640]   Today, it's very easy to book one-way flights at a lower cost.
[00:27:48.640 --> 00:27:52.640]   And so I'll choose a state or a city to start in.
[00:27:52.640 --> 00:27:53.640]   I'll fire up the map.
[00:27:53.640 --> 00:27:55.640]   I'll put in a filter.
[00:27:55.640 --> 00:27:58.640]   And sometimes I'll make that filter very, very low.
[00:27:58.640 --> 00:28:04.640]   You might put in a $200 filter or a $300 filter and see where can I go for a $200 or $300 one-way ticket.
[00:28:04.640 --> 00:28:10.640]   And if you'll go around the world, sometimes you'll get some incredible options that are available to you.
[00:28:10.640 --> 00:28:13.640]   And knowing that you can search at any time in the next six months,
[00:28:13.640 --> 00:28:22.640]   this really helps you to identify other savings opportunities by flying at a specific time over the next six months
[00:28:22.640 --> 00:28:26.640]   rather than looking for a specific set of days in advance.
[00:28:26.640 --> 00:28:30.640]   So if you were only going to use one website, I would start with Google Flights.
[00:28:30.640 --> 00:28:37.640]   Now, obviously, if you get used to thinking in terms of one-way trips, then you face the problem of how do I get home.
[00:28:37.640 --> 00:28:40.640]   And so what I like to do is I like to play with different starting cities.
[00:28:40.640 --> 00:28:45.640]   And my first starting city might be to fly from Fort Lauderdale to London.
[00:28:45.640 --> 00:28:49.640]   But then I'll go ahead and start playing with other destinations.
[00:28:49.640 --> 00:28:52.640]   And so I'll pick other cities that I know are big travel hubs.
[00:28:52.640 --> 00:28:57.640]   I might choose Frankfurt or Zurich or Madrid or something like that.
[00:28:57.640 --> 00:29:05.640]   I'll pick some of these cities that are well served as travel hubs and then look in the other direction as a one-way ticket
[00:29:05.640 --> 00:29:09.640]   and try to get an idea of when the return flights are available for me.
[00:29:09.640 --> 00:29:13.640]   Because if I do that, I get the most flexibility and often the lowest cost.
[00:29:13.640 --> 00:29:16.640]   Google Flights allows you to search by region as well.
[00:29:16.640 --> 00:29:21.640]   And so you can say, "I want to go anywhere," or you can say, "I want to go to India."
[00:29:21.640 --> 00:29:25.640]   And it'll show you the various tickets for different destinations in India.
[00:29:25.640 --> 00:29:32.640]   And if you play with the tool, you might surprise yourself by finding some great deals yourself with Google Flights.
[00:29:32.640 --> 00:29:39.640]   Going quickly, the other two that I find very useful is Kayak and Kiwi.
[00:29:39.640 --> 00:29:45.640]   Kayak also has a similar explore function where you can use the filters and you can say,
[00:29:45.640 --> 00:29:53.640]   "I want to go from this city. I want to take a one-week trip during this time period, and my budget is $500."
[00:29:53.640 --> 00:30:00.640]   And it's really great. It's really useful to put those numbers in there and get a good sense of what's available to you.
[00:30:00.640 --> 00:30:08.640]   Kayak has a map function as well, but I find that while I used to use it a lot more, now I'm using Google Flights more than Kayak.
[00:30:08.640 --> 00:30:10.640]   But Kayak is still useful.
[00:30:10.640 --> 00:30:20.640]   And one thing that it is useful about is it puts together good non-connected chains of tickets, especially using budget airlines.
[00:30:20.640 --> 00:30:29.640]   Kiwi I used extensively a couple years ago, but I have not gotten as great results as I once did on Kiwi.
[00:30:29.640 --> 00:30:32.640]   And so again, it's now gone to my second place.
[00:30:32.640 --> 00:30:38.640]   It used to be that Kiwi was my number one, Kayak was number two, Google Flights was three, four, five.
[00:30:38.640 --> 00:30:43.640]   Now for me, I start on Google Flights, Kiwi is number two, and then Kayak is number three.
[00:30:43.640 --> 00:30:46.640]   I don't go much farther. There are a lot of other websites that people use.
[00:30:46.640 --> 00:30:55.640]   There's Skyscanner, there's all these interesting websites that are devoted to niche travel opportunities like jet skip lag tickets and other things.
[00:30:55.640 --> 00:30:57.640]   If you're into that, go into that.
[00:30:57.640 --> 00:31:05.640]   But I don't find that they give me any massively better results than those big three do.
[00:31:05.640 --> 00:31:07.640]   And so they're also very time consuming.
[00:31:07.640 --> 00:31:10.640]   So I at least educate myself a lot with those big three.
[00:31:10.640 --> 00:31:13.640]   Now I mentioned flightsfrom.com.
[00:31:13.640 --> 00:31:23.640]   I have two other favorite websites that I use with travel booking that perform a service that is complementary to these.
[00:31:23.640 --> 00:31:28.640]   A big one is flightconnections.com and then flightsfrom.com.
[00:31:28.640 --> 00:31:38.640]   Flight Connections gives you all of the connections, the direct flights that go from one airport to another place.
[00:31:38.640 --> 00:31:42.640]   And Flight Connections is a superior application.
[00:31:42.640 --> 00:31:44.640]   You can use it as a web app or as a mobile app.
[00:31:44.640 --> 00:31:48.640]   It's a superior application for its graphical interface.
[00:31:48.640 --> 00:31:57.640]   And if you have a premium account with Flight Connections, as I do, then you gain access to a real-time pricing structure.
[00:31:57.640 --> 00:32:01.640]   And so the way it works is you can pick a city as your starting city.
[00:32:01.640 --> 00:32:04.640]   You tap on or click on an airport.
[00:32:04.640 --> 00:32:07.640]   And then you can turn on the price map.
[00:32:07.640 --> 00:32:15.640]   And it will show you all of the direct flights from that city to all of those cities that are connected.
[00:32:15.640 --> 00:32:18.640]   And it will put a generalized map of prices.
[00:32:18.640 --> 00:32:23.640]   So you'll have green dots that are your inexpensive flights, yellow dots, and red dots.
[00:32:23.640 --> 00:32:30.640]   And this is really, really useful for finding budget airlines that you don't otherwise come across
[00:32:30.640 --> 00:32:36.640]   and getting a good sense of where the consistently inexpensive tickets are between two places.
[00:32:36.640 --> 00:32:45.640]   And having that visual interface is really, really wonderful because it shows you all of the flights, all of the airlines,
[00:32:45.640 --> 00:32:48.640]   and it shows you the general range of prices.
[00:32:48.640 --> 00:32:53.640]   So you can take that information, and then you can go further, and you can go to the company website,
[00:32:53.640 --> 00:32:58.640]   and you can search for specific dates that are inexpensive between those routes.
[00:32:58.640 --> 00:33:07.640]   So back to my example of trying to help a friend save money on flights between Florida and Cairo.
[00:33:07.640 --> 00:33:19.640]   First thing I did was go to Google Flights and get a sense of what options there were for direct tickets.
[00:33:19.640 --> 00:33:22.640]   And I didn't find any options that were good and useful there.
[00:33:22.640 --> 00:33:24.640]   There was no great steal.
[00:33:24.640 --> 00:33:26.640]   I couldn't find any great solutions.
[00:33:26.640 --> 00:33:28.640]   So I just moved on from Google Flights.
[00:33:28.640 --> 00:33:34.640]   My next destination was to go to Flight Connections because I like the visual interface.
[00:33:34.640 --> 00:33:39.640]   And I start in Cairo, and I click on Cairo, and I look at what all the flights are.
[00:33:39.640 --> 00:33:42.640]   And I can very quickly see the green dots.
[00:33:42.640 --> 00:33:49.640]   And I believe that's how I found the flight that, if memory is correct, the Vueling flight between Paris and Cairo.
[00:33:49.640 --> 00:33:52.640]   That here's a direct flight from Paris to Cairo.
[00:33:52.640 --> 00:33:57.640]   It's inexpensive. Oh, look, there's a low-cost carrier that's serving this route.
[00:33:57.640 --> 00:34:03.640]   Now, in addition to that, on Flight Connections, I can very easily look around at local cities as well.
[00:34:03.640 --> 00:34:07.640]   And so I can say, well, is it Alexandria?
[00:34:07.640 --> 00:34:09.640]   What if they flew into Alexandria and took the train?
[00:34:09.640 --> 00:34:11.640]   So I click on Alexandria. Oh, check it out.
[00:34:11.640 --> 00:34:15.640]   There's a bunch of routes that get me between Europe and Alexandria as well.
[00:34:15.640 --> 00:34:21.640]   And so I can move very rapidly from airport to airport to airport in the visual interface.
[00:34:21.640 --> 00:34:26.640]   I can turn on the pricing map so I know where the green dots are, where the inexpensive flights are.
[00:34:26.640 --> 00:34:34.640]   And this allows me to very quickly figure out how I can get from one region to another.
[00:34:34.640 --> 00:34:41.640]   And so when you play with this enough, you start to figure out where your really inexpensive flights are.
[00:34:41.640 --> 00:34:46.640]   And you figure out, oh, I can always fly between Dubai and India for $150.
[00:34:46.640 --> 00:34:47.640]   All right, that's good to know.
[00:34:47.640 --> 00:34:49.640]   So if I can just get to Dubai, well, how can I get to Dubai?
[00:34:49.640 --> 00:34:52.640]   Well, here's these airports around it. What are the inexpensive ones?
[00:34:52.640 --> 00:34:54.640]   And you can put in several destinations.
[00:34:54.640 --> 00:35:02.640]   And you might wind up buying three or four different tickets, but you'll buy three or four different tickets on these different schedules that will --
[00:35:02.640 --> 00:35:06.640]   and you get yourself there region by region.
[00:35:06.640 --> 00:35:10.640]   And it's really no problem to take the train from Alexandria to Cairo.
[00:35:10.640 --> 00:35:12.640]   In fact, it can be an enjoyable part of the trip.
[00:35:12.640 --> 00:35:18.640]   But you get there by figuring out, oh, here are the alternative airports that I could fly in and out of.
[00:35:18.640 --> 00:35:25.640]   To use an example, if you don't spend a lot of time in some of these airports, if somebody wants to go to New York City,
[00:35:25.640 --> 00:35:32.640]   it doesn't really matter whether they fly into Newark, JFK, or LaGuardia.
[00:35:32.640 --> 00:35:34.640]   They're all going to get you to New York City.
[00:35:34.640 --> 00:35:40.640]   So -- but if -- that's relatively easy because you can search New York City.
[00:35:40.640 --> 00:35:56.640]   But there's also a huge complement of other airports that can get you close enough to New York that may have vastly better deals if you can look at them on a map and then recognize and search out your local transportation options.
[00:35:56.640 --> 00:35:59.640]   And so I really love flight connections.
[00:35:59.640 --> 00:36:12.640]   Flightsfrom.com doesn't have a superior -- it lacks a couple of things, which -- it basically is a wonderful listing site that you put in any airport,
[00:36:12.640 --> 00:36:18.640]   and it tells you here is -- here are all the flights in and out of this airport.
[00:36:18.640 --> 00:36:20.640]   Here are all the direct destinations.
[00:36:20.640 --> 00:36:28.640]   And this is really important to do your due diligence on because there are many airlines.
[00:36:28.640 --> 00:36:36.640]   Maybe I should modify that and say there are some airlines, especially the budget airlines, that do not permit their fares to be listed in the aggregator services.
[00:36:36.640 --> 00:36:39.640]   So the American example would be Southwest.
[00:36:39.640 --> 00:36:45.640]   If you want to search for Southwest fares, you need to go and check southwest.com.
[00:36:45.640 --> 00:36:47.640]   That's where you find Southwest fares.
[00:36:47.640 --> 00:36:57.640]   Now, frequently, you may not wind up buying a Southwest ticket, but you want to know that that flight is there so you can check to see if there is an inexpensive option available.
[00:36:57.640 --> 00:37:05.640]   And so you can get that information from flightconnections.com, but it's not as easily presented as it is at flightsfrom.com.
[00:37:05.640 --> 00:37:08.640]   Flightsfrom.com also has a number of other filters.
[00:37:08.640 --> 00:37:17.640]   And so if I know that there is a particular airline that is inexpensive -- so an example here in the United States would be Spirit or Frontier.
[00:37:17.640 --> 00:37:25.640]   If you're willing to fly on Spirit or Frontier, you can get good, reliably inexpensive tickets on those, but you want to get a sense of where do they fly.
[00:37:25.640 --> 00:37:41.640]   And so you can go and you can say -- let's say you've got the Frontier Go Wild Pass that they've been selling over the last year, which you pay a flat fee, and you can take flights where you only pay for the taxes and fees on those flights.
[00:37:41.640 --> 00:37:47.640]   So you're looking at an airport, and you want to filter and say, "All right, I've got Miami International.
[00:37:47.640 --> 00:37:50.640]   Where does Spirit fly from Miami International?"
[00:37:50.640 --> 00:38:00.640]   And so you can look at their route map, but it's often better for you to just simply use flightsfrom.com, filter by airline, and then see what options are available.
[00:38:00.640 --> 00:38:08.640]   And then because you can move among airlines very, very quickly, and so it's a lot easier than navigating to the route map for each specific airline.
[00:38:08.640 --> 00:38:10.640]   So these are the tools that I use.
[00:38:10.640 --> 00:38:16.640]   And so if you're going to a place, take a quick check and see what are the options that are there.
[00:38:16.640 --> 00:38:23.640]   If you do this, you'll find some amazing deals, especially if you're willing to fly on budget airlines.
[00:38:23.640 --> 00:38:33.640]   So let me go ahead and give you now some of my tips for flying on budget airlines because I've developed a few strategies that have helped that to be pretty good.
[00:38:33.640 --> 00:38:36.640]   What don't people like about budget airlines?
[00:38:36.640 --> 00:38:39.640]   Well, first, they're often uncomfortable.
[00:38:39.640 --> 00:38:41.640]   They don't have lay-flat seats.
[00:38:41.640 --> 00:38:43.640]   They don't have great recline.
[00:38:43.640 --> 00:38:46.640]   You often will have seats that don't recline, et cetera.
[00:38:46.640 --> 00:38:49.640]   So consider them to be uncomfortable.
[00:38:49.640 --> 00:38:51.640]   They don't like the service.
[00:38:51.640 --> 00:38:57.640]   They want to get on an airplane and get a pillow and a blanket and have everything laid out for you, et cetera.
[00:38:57.640 --> 00:39:02.640]   People don't like being nickel and dimed, being charged for everything that you do.
[00:39:02.640 --> 00:39:08.640]   People don't like just a general lack of comfort.
[00:39:08.640 --> 00:39:09.640]   That's about it.
[00:39:09.640 --> 00:39:11.640]   Budget airlines are just as safe as anything else.
[00:39:11.640 --> 00:39:13.640]   They get you to your destination.
[00:39:13.640 --> 00:39:15.640]   There are some other risks to flying on a budget airline.
[00:39:15.640 --> 00:39:20.640]   So, for example, if they cancel your tickets, some airlines will never book you through on multiple legs.
[00:39:20.640 --> 00:39:29.640]   And if you're flying from New York to Melbourne on a legacy carrier and you've got a connection or two, then they'll make sure you get to Melbourne.
[00:39:29.640 --> 00:39:34.640]   But on a budget airline, if you can't get your flight, then they may cancel it and refund you your money and you're stuck.
[00:39:34.640 --> 00:39:36.640]   And so you've got to be prepared for that.
[00:39:36.640 --> 00:39:40.640]   So these are the downsides of a budget airline.
[00:39:40.640 --> 00:39:47.640]   The pros of a budget airline, on the other hand, are that you get exactly what you pay for.
[00:39:47.640 --> 00:39:51.640]   And you can pay for anything that you want, but you don't pay for anything that you don't want.
[00:39:51.640 --> 00:39:59.640]   And I find a lot of the frustrations that people have with budget airlines are, to me, just kind of a sense of weakness.
[00:39:59.640 --> 00:40:06.640]   I mean, even a long flight, most of the time I don't enjoy sitting on an airplane seat for eight hours, 10 hours, 15 hours.
[00:40:06.640 --> 00:40:07.640]   It's not fun.
[00:40:07.640 --> 00:40:13.640]   But on the other hand, it's not that great of a hardship in the grand scope of human existence.
[00:40:13.640 --> 00:40:20.640]   When my forebears spent months on a ship and cramped horrible, sick conditions to cross between continents,
[00:40:20.640 --> 00:40:29.640]   I feel a little bit silly complaining about sitting in a comfortable seat in an air-conditioned cabin for 10 hours.
[00:40:29.640 --> 00:40:33.640]   Especially when I can get up and walk around and I don't have to duck my head.
[00:40:33.640 --> 00:40:41.640]   And so I think there's a certain skill set of just simply disciplining yourself to not succumb to those issues.
[00:40:41.640 --> 00:40:43.640]   I can sit down on an airplane seat.
[00:40:43.640 --> 00:40:44.640]   I'm very tall.
[00:40:44.640 --> 00:40:46.640]   I don't worry about the leg room.
[00:40:46.640 --> 00:40:47.640]   I used to make a big deal out of it.
[00:40:47.640 --> 00:40:49.640]   I just fold my legs up.
[00:40:49.640 --> 00:40:50.640]   I can sit down on an airplane seat.
[00:40:50.640 --> 00:40:58.640]   I open a book and focus and just discipline myself to sit there with, of course, the requisite get up and walk around to stay in good health.
[00:40:58.640 --> 00:41:00.640]   But it's not that hard.
[00:41:00.640 --> 00:41:02.640]   It's not that big of a deal.
[00:41:02.640 --> 00:41:05.640]   With regard to some of the things like food, you can just buy food.
[00:41:05.640 --> 00:41:08.640]   I frequently buy food on budget airlines and I'm glad to do it.
[00:41:08.640 --> 00:41:11.640]   But I do have a couple of strategies that help with that.
[00:41:11.640 --> 00:41:19.640]   Number one, I have maintained for a good number of years now significant luxury lounge access.
[00:41:19.640 --> 00:41:30.640]   And so if you use an Amex Platinum or a Chase Sapphire Reserve or some other lounge access, I find that to be a huge benefit.
[00:41:30.640 --> 00:41:39.640]   And especially with children, I need to feed children consistently in order for them to be stable in their thinking.
[00:41:39.640 --> 00:41:45.640]   And so I find that having lounge access is really, really useful.
[00:41:45.640 --> 00:41:55.640]   That most airports I can go in, I can get my whole family in, I can have plenty of food, everyone's well fed, we have some time to relax, and then we go sit on the airplane.
[00:41:55.640 --> 00:42:00.640]   And if you do that, then whether they serve your food on the airplane or not is not nearly as important.
[00:42:00.640 --> 00:42:05.640]   And obviously any adult should easily be able to fast for 12 or 20 hours or bring food with you.
[00:42:05.640 --> 00:42:07.640]   It's not that hard to deal with.
[00:42:07.640 --> 00:42:14.640]   And so I have found that the lounge access strategy, though, is a major money saver for us.
[00:42:14.640 --> 00:42:19.640]   And so I'm happy to pay -- I don't even remember what Amex charges, $600, $700 a year, something like that.
[00:42:19.640 --> 00:42:26.640]   I get multiples of that in terms of just simply food value from lounges, etc., all around the world.
[00:42:26.640 --> 00:42:41.640]   And so if you're a frequent traveler, even if you might use budget airlines, lounge access can solve a lot of those issues of comfort, food, etc., and then you don't wind up buying too much on the airplane itself.
[00:42:41.640 --> 00:42:54.640]   When you find out that a budget airline works in your area, get familiar with the route map and the flights that that budget airline serves and get a good idea of what's available.
[00:42:54.640 --> 00:42:59.640]   So use those websites to explore your area, and sometimes you'll find incredible deals.
[00:42:59.640 --> 00:43:04.640]   I was poking around Europe, I don't know, last year, and I came across Scoot Airlines.
[00:43:04.640 --> 00:43:12.640]   I've never flown on Scoot Airlines, but I was amazed to find that Scoot has a flight from Athens to Singapore that you can buy regularly for less than $500.
[00:43:12.640 --> 00:43:19.640]   That's a tough flight, long flight to sit on an airplane in a budget airline without a lot of creature comforts, etc.
[00:43:19.640 --> 00:43:24.640]   But it can be difficult to get to Asia inexpensively, and it's nice to know that that's an option.
[00:43:24.640 --> 00:43:27.640]   There are budget airlines from Tokyo to LA.
[00:43:27.640 --> 00:43:29.640]   There are budget airlines in and out of Australia.
[00:43:29.640 --> 00:43:42.640]   There are budget airlines from... Cebu Pacific runs this flight with 430 seats on it, from Manila to Dubai, and you can buy tickets for $150 and fly Manila to Dubai.
[00:43:42.640 --> 00:43:46.640]   Amazingly cheap fares if you are aware that they exist.
[00:43:46.640 --> 00:44:00.640]   So poke around on those airline websites and get an idea of what's available, what airlines serve that area, and then keep an eye on their options.
[00:44:00.640 --> 00:44:08.640]   And then finally, pay attention to credit card strategies that involve the airlines that have the things that you want.
[00:44:08.640 --> 00:44:17.640]   So it may be the case that you may not be able to get a lot of points-based travel, as I struggle to do, with the number of tickets that I need to fly together.
[00:44:17.640 --> 00:44:27.640]   But you may just go ahead and have the Frontier credit card that gives you elite status that allows you to save money on bag fees, etc., or various versions of that.
[00:44:27.640 --> 00:44:41.640]   And so one of the great ways on many carriers is to gain the perks that you're looking for, is just sign up for their credit card, meet the minimum spend, and have it so that you can get value on that airline.
[00:44:41.640 --> 00:44:53.640]   There's no perfect solution, and so frequently you'll need to put together your skill set with understanding your options of rental cars, buses, trains, etc., between and among airports.
[00:44:53.640 --> 00:45:07.640]   But you can pretty reliably fly from most corners of the globe to the most other opposite corners of the globe for consistently less than $500, almost no matter the distance.
[00:45:07.640 --> 00:45:14.640]   And that is powerful. Now, obviously, round-trip tickets will often be the same.
[00:45:14.640 --> 00:45:17.640]   But just to know that those options are there is a great starting point.
[00:45:17.640 --> 00:45:25.640]   So just imagine, you can put together a round-trip ticket from just about anywhere in the world to just about anywhere else in the world for $1,000.
[00:45:25.640 --> 00:45:29.640]   That's amazing. That's an amazingly cheap deal.
[00:45:29.640 --> 00:45:34.640]   And in many cases, it's much, much less than $1,000.
[00:45:34.640 --> 00:45:41.640]   In many cases, you can find even very long-haul options for a few hundred dollars.
[00:45:41.640 --> 00:45:49.640]   If you practice these techniques, you figure out who's serving the regions that you're interested in and pay attention to them.
[00:45:49.640 --> 00:45:51.640]   There are many other tips that I could give.
[00:45:51.640 --> 00:45:56.640]   There are websites that offer you deals and insights, send you emails, you put in your home airports.
[00:45:56.640 --> 00:46:00.640]   Those are great. I've subscribed to several of those, and it's helpful to be aware of the options as well.
[00:46:00.640 --> 00:46:05.640]   But at its core, what you need is those three rules.
[00:46:05.640 --> 00:46:13.640]   If you want to book inexpensive airplane tickets, be flexible on your destination, be flexible on your dates, and pack lightly.
[00:46:13.640 --> 00:46:23.640]   If you follow those three rules, you can find yourself using the tools I mentioned, Google Flights and Kiwi and Kayak and FlightConnections.com and FlightsFrom.com.
[00:46:23.640 --> 00:46:28.640]   If you use those tools and you poke around, you can just buy the tickets that you need.
[00:46:28.640 --> 00:46:32.640]   No word travel, no blackout dates. You can just buy the tickets.
[00:46:32.640 --> 00:46:38.640]   And yet, doing that is very, very inexpensive, and you can travel the world at a very low price.
[00:46:39.640 --> 00:46:45.640]   The holidays start here at Ralph's with a variety of options to celebrate traditions old and new.
[00:46:45.640 --> 00:46:53.640]   Whether you're making a traditional roasted turkey or spicy turkey tacos, your go-to shrimp cocktail, or your first Cajun risotto,
[00:46:53.640 --> 00:46:57.640]   Ralph's has all the freshest ingredients to embrace your traditions.
[00:46:57.640 --> 00:46:59.640]   Ralph's. Fresh for Everyone.
[00:46:59.640 --> 00:47:04.640]   Choose from a great selection of digital coupons and use them up to five times in one transaction.
[00:47:04.640 --> 00:47:06.640]   Check our app for details.
[00:47:06.640 --> 00:47:10.440]   Ralphs. Fresh for everyone.

